Year,Annual,Jan-Jan,April-April,"Jan-Jan, then April-April, with 2015 as 15 months",
1989,0.052,0.053,0.049,0.053,0.053
1990,0.07,0.068,0.057,0.068,0.068
1991,0.075,0.082,0.071,0.082,0.082
1992,0.042,0.043,0.07,0.043,0.043
1993,0.025,0.025,0.022,0.025,0.025
1994,0.02,0.02,0.027,0.02,0.02
1995,0.026,0.025,0.024,0.025,0.025
1996,0.024,0.023,0.026,0.023,0.023
1997,0.018,0.016,0.021,0.016,0.016
1998,0.016,0.02,0.015,0.02,0.02
1999,0.013,0.013,0.016,0.013,0.013
2000,0.008,0.005,0.008,0.005,0.005
2001,0.012,0.017,0.009,0.017,0.017
2002,0.013,0.008,0.016,0.008,0.008
2003,0.014,0.013,0.013,0.013,0.013
2004,0.013,0.015,0.014,0.015,0.015
2005,0.021,0.019,0.016,0.019,0.019
2006,0.023,0.022,0.019,0.022,0.022
2007,0.023,0.025,0.027,0.025,0.025
2008,0.036,0.033,0.022,0.033,0.033
2009,0.022,0.022,0.03,0.022,0.022
2010,0.033,0.034,0.035,0.034,0.034
2011,0.045,0.045,0.04,0.045,0.045
2012,0.028,0.028,0.036,0.028,0.028
2013,0.026,0.027,0.027,0.027,0.027
2014,0.015,0.015,0.019,0.015,0.015
2015,0,0.001,0.003,0.002500053,0.002500053
2016,0.007,0.003,0.003,0.003,0.003
2017,0.027,0.029,0.018,0.018,0.018
2018,0.025,0.024,0.03,0.03,0.03
2019,0.018,0.02,0.018,0.018,0.018
2020,0.009,0.005,0.018,,0.018
2021,,0.007,0.015,,0.015
2021.5,,,0.020784012,,0.020784012
