dob,salary,salary_inc,inflation,old_pension_pa,new_pension_pa,old_pension_20yr_pa,new_pension_20yr_pa,age,old_pension_total,new_pension_total_linear,new_pension_total_geomet,loss_percent,loss_pounds,number,binned_by_pc_loss,binned_by_pounds_loss,binned_by_salary,binned_by_age
1999,2500,0.04,0.03,1810,1340,1810,1100,22.5,36200,24400.0,24325.259802527227,32.59668508287293,11800.0,321,30-35%,0-50k,0-20k,20-30
1999,7500,0.04,0.03,5440,4030,5440,3330,22.5,108800,73600.0,73389.25052562506,32.35294117647059,35200.0,120,30-35%,0-50k,0-20k,20-30
1999,12500,0.04,0.03,9080,6730,9080,5560,22.5,181600,122900.0,122547.40992286314,32.32378854625551,58700.0,122,30-35%,50-100k,0-20k,20-30
1999,17500,0.04,0.03,12710,9400,12710,7770,22.5,254200,171700.0,171210.16562762138,32.45476003147128,82500.0,154,30-35%,50-100k,0-20k,20-30
1999,22500,0.04,0.03,16350,11600,16350,9630,22.5,327000,212300.0,211721.3979206078,35.07645259938838,114700.0,219,35-40%,100-150k,20-40k,20-30
1999,27500,0.04,0.03,19990,13330,19990,11170,22.5,399800,245000.0,244397.3830220788,38.71935967983992,154800.0,381,35-40%,150-200k,20-40k,20-30
1999,32500,0.04,0.03,23620,14820,23620,12550,22.5,472400,273700.0,273104.37517865445,42.06181202370872,198700.0,305,40-45%,150-200k,20-40k,20-30
1999,37500,0.04,0.03,27260,16190,27260,13880,22.5,545200,300700.0,300138.7288214369,44.8459280997799,244500.0,91,40-45%,200-250k,20-40k,20-30
1999,42500,0.04,0.03,30680,17510,30680,15200,22.5,613600,327100.0,326584.15482005046,46.69165580182529,286500.0,20,45-50%,250-300k,40-60k,20-30
1999,47500,0.04,0.03,33360,18840,33360,16530,22.5,667200,353700.0,353223.0410437587,46.98741007194245,313500.0,5,45-50%,300-350k,40-60k,20-30
1999,52500,0.04,0.03,35410,20160,35410,17850,22.5,708200,380100.0,379656.23627105256,46.32872070036713,328100.0,0,45-50%,300-350k,40-60k,20-30
1999,57500,0.04,0.03,37050,21490,37050,19180,22.5,741000,406700.0,406285.31219133193,45.11470985155196,334300.0,0,45-50%,300-350k,40-60k,20-30
1999,62500,0.04,0.03,38380,22800,38380,20490,22.5,767600,432900.0,432510.44935767195,43.60343929129755,334700.0,0,40-45%,300-350k,60-80k,20-30
1999,67500,0.04,0.03,39680,24100,39680,21790,22.5,793600,458900.0,458532.5509801008,42.174899193548384,334700.0,0,40-45%,300-350k,60-80k,20-30
1999,72500,0.04,0.03,40970,25390,40970,23080,22.5,819400,484700.0,484352.1342380483,40.84696119111545,334700.0,0,40-45%,300-350k,60-80k,20-30
1999,77500,0.04,0.03,42270,26690,42270,24380,22.5,845400,510700.0,510369.8641251527,39.59072628341613,334700.0,0,35-40%,300-350k,60-80k,20-30
1999,82500,0.04,0.03,43560,27980,43560,25670,22.5,871200,536500.0,536185.756290803,38.41827364554637,334700.0,0,35-40%,300-350k,80k+,20-30
1999,87500,0.04,0.03,44860,29280,44860,26970,22.5,897200,562500.0,562200.2947234386,37.30494872938029,334700.0,0,35-40%,300-350k,80k+,20-30
1999,92500,0.04,0.03,46150,30570,46150,28260,22.5,923000,588300.0,588013.4494128727,36.262188515709646,334700.0,0,35-40%,300-350k,80k+,20-30
1999,97500,0.04,0.03,47450,31860,47450,29550,22.5,949000,614100.0,613825.4974655362,35.289778714436245,334900.0,0,35-40%,300-350k,80k+,20-30
1999,102500,0.04,0.03,48740,33160,48740,30850,22.5,974800,640100.0,639836.6553001644,34.33524825605252,334700.0,0,30-35%,300-350k,80k+,20-30
1999,107500,0.04,0.03,50040,34450,50040,32140,22.5,1000800,665900.0,665646.8651559629,33.463229416466824,334900.0,0,30-35%,300-350k,80k+,20-30
1999,112500,0.04,0.03,51330,35750,51330,33440,22.5,1026600,691900.0,691656.3831436641,32.602766413403465,334700.0,0,30-35%,300-350k,80k+,20-30
1999,117500,0.04,0.03,52630,37040,52630,34730,22.5,1052600,717700.0,717465.1456527831,31.816454493634808,334900.0,0,30-35%,300-350k,80k+,20-30
1999,122500,0.04,0.03,53920,38340,53920,36030,22.5,1078400,743700.0,743473.3605406955,31.036721068249257,334700.0,0,30-35%,300-350k,80k+,20-30
1999,127500,0.04,0.03,55220,39630,55220,37320,22.5,1104400,769500.0,769280.9630842021,30.324157913799347,334900.0,0,30-35%,300-350k,80k+,20-30
1999,132500,0.04,0.03,56510,40930,56510,38620,22.5,1130200,795500.0,795288.1253270247,29.614227570341534,334700.0,0,25-30%,300-350k,80k+,20-30
1999,137500,0.04,0.03,57810,42220,57810,39910,22.5,1156200,821300.0,821094.7839293969,28.96557688981145,334900.0,0,25-30%,300-350k,80k+,20-30
