binned_by_pc_loss,binned_by_pounds_loss,binned_by_salary,binned_by_age,inflation,number
5-10%,0-50k,0-20k,60-70,0.028,743
5-10%,0-50k,20-40k,60-70,0.028,1495
5-10%,0-50k,40-60k,60-70,0.028,478
5-10%,0-50k,80k+,60-70,0.028,378
10-15%,0-50k,0-20k,60-70,0.028,1900
10-15%,0-50k,20-40k,60-70,0.028,2004
10-15%,0-50k,40-60k,60-70,0.028,1068
10-15%,0-50k,60-80k,60-70,0.028,948
10-15%,0-50k,80k+,60-70,0.028,850
15-20%,0-50k,0-20k,50-60,0.028,2097
15-20%,0-50k,0-20k,60-70,0.028,487
15-20%,0-50k,20-40k,50-60,0.028,3096
15-20%,0-50k,20-40k,60-70,0.028,643
15-20%,0-50k,40-60k,60-70,0.028,1166
15-20%,0-50k,80k+,60-70,0.028,307
15-20%,50-100k,80k+,50-60,0.028,309
20-25%,0-50k,0-20k,30-40,0.028,1652
20-25%,0-50k,0-20k,40-50,0.028,5056
20-25%,0-50k,0-20k,50-60,0.028,2138
20-25%,0-50k,20-40k,40-50,0.028,6654
20-25%,0-50k,20-40k,50-60,0.028,6189
20-25%,0-50k,40-60k,60-70,0.028,1035
20-25%,0-50k,80k+,60-70,0.028,1360
20-25%,50-100k,20-40k,30-40,0.028,1276
20-25%,50-100k,80k+,50-60,0.028,581
20-25%,100-150k,80k+,40-50,0.028,124
20-25%,150-200k,80k+,30-40,0.028,33
20-25%,150-200k,80k+,40-50,0.028,65
20-25%,200-250k,80k+,30-40,0.028,16
25-30%,0-50k,0-20k,20-30,0.028,2937
25-30%,0-50k,0-20k,30-40,0.028,4110
25-30%,0-50k,40-60k,50-60,0.028,4250
25-30%,0-50k,40-60k,60-70,0.028,1903
25-30%,0-50k,60-80k,60-70,0.028,2295
25-30%,0-50k,80k+,60-70,0.028,630
25-30%,50-100k,0-20k,20-30,0.028,742
25-30%,50-100k,0-20k,30-40,0.028,787
25-30%,50-100k,20-40k,20-30,0.028,647
25-30%,50-100k,20-40k,30-40,0.028,3808
25-30%,50-100k,20-40k,40-50,0.028,4564
25-30%,50-100k,40-60k,50-60,0.028,3058
25-30%,50-100k,80k+,50-60,0.028,3380
25-30%,100-150k,80k+,40-50,0.028,438
25-30%,150-200k,80k+,30-40,0.028,75
25-30%,150-200k,80k+,40-50,0.028,235
25-30%,200-250k,80k+,30-40,0.028,16
30-35%,0-50k,40-60k,50-60,0.028,1902
30-35%,50-100k,20-40k,30-40,0.028,3773
30-35%,50-100k,20-40k,40-50,0.028,2908
30-35%,50-100k,40-60k,40-50,0.028,3673
30-35%,50-100k,40-60k,50-60,0.028,4624
30-35%,50-100k,60-80k,50-60,0.028,6657
30-35%,50-100k,80k+,50-60,0.028,1825
30-35%,100-150k,20-40k,20-30,0.028,1428
30-35%,100-150k,20-40k,30-40,0.028,10667
30-35%,100-150k,60-80k,40-50,0.028,510
30-35%,100-150k,80k+,40-50,0.028,1260
30-35%,150-200k,60-80k,40-50,0.028,294
30-35%,150-200k,80k+,30-40,0.028,273
30-35%,150-200k,80k+,40-50,0.028,793
30-35%,200-250k,80k+,30-40,0.028,62
35-40%,50-100k,40-60k,40-50,0.028,3405
35-40%,50-100k,40-60k,50-60,0.028,4704
35-40%,50-100k,60-80k,50-60,0.028,2099
35-40%,100-150k,20-40k,20-30,0.028,381
35-40%,100-150k,40-60k,30-40,0.028,6333
35-40%,100-150k,40-60k,40-50,0.028,18293
35-40%,100-150k,60-80k,40-50,0.028,4008
35-40%,150-200k,20-40k,20-30,0.028,5615
35-40%,150-200k,20-40k,30-40,0.028,6187
35-40%,150-200k,40-60k,30-40,0.028,1686
35-40%,150-200k,40-60k,40-50,0.028,2853
35-40%,150-200k,60-80k,30-40,0.028,1416
35-40%,150-200k,60-80k,40-50,0.028,3116
35-40%,200-250k,60-80k,30-40,0.028,304
35-40%,250-300k,60-80k,20-30,0.028,37
40-45%,150-200k,40-60k,30-40,0.028,11689
40-45%,200-250k,20-40k,20-30,0.028,91
40-45%,200-250k,40-60k,20-30,0.028,658
40-45%,200-250k,40-60k,30-40,0.028,3643
40-45%,250-300k,40-60k,20-30,0.028,367
