Age/salary,£0–5k,£5–10k,£10–15k,£15–20k,£20–25k,£25–30k,£30–35k,£35–40k,£40–45k,£45–50k,£50–55k,£55–60k,£60–65k,£65–70k,£70–75k,£75–80k,£80–85k,£85–90k,£90–95k,£95–100k,£100–105k,£105–110k,£110–115k,£115–120k,£120–125k,£125–130k,£130–135k,£135–140k,£140–145k,£145–150k,£150+
< 25,-0.286842105,-0.286842105,-0.286764706,-0.287696924,-0.315528313,-0.355131265,-0.390909091,-0.419677306,-0.431710402,-0.430812079,-0.422619048,-0.409872949,-0.395179801,-0.381462334,-0.368665239,-0.356929098,-0.345707915,-0.335170774,-0.325256975,-0.315912795,-0.307090513,-0.298747592,-0.290712946,-0.283220618,-0.276104775,-0.269511559,-0.263064133,-0.256917978,-0.251052461,-0.245448789,-0.198884043
25-29,-0.27607362,-0.274489796,-0.274449878,-0.275065388,-0.290705563,-0.327136515,-0.365194927,-0.398656899,-0.419360697,-0.423760054,-0.418667088,-0.407580791,-0.393793706,-0.380811496,-0.368557404,-0.357067371,-0.346528312,-0.33619403,-0.326607057,-0.317786654,-0.309055568,-0.300935204,-0.293230636,-0.285971223,-0.279004955,-0.272370012,-0.266240157,-0.260053877,-0.254280339,-0.248941653,-0.202804019
30-34,-0.268115942,-0.263855422,-0.262626263,-0.262100927,-0.267628205,-0.2991481,-0.338047698,-0.374579529,-0.403617021,-0.414458301,-0.412852435,-0.404303709,-0.390973631,-0.378559738,-0.367227157,-0.356263466,-0.345935445,-0.335996514,-0.326787228,-0.318344334,-0.310072328,-0.302219321,-0.294574631,-0.287472036,-0.280703883,-0.27448423,-0.268312471,-0.262412151,-0.256600843,-0.251194613,-0.205924213
35-39,-0.25,-0.251453488,-0.24825784,-0.249068323,-0.249032882,-0.269960474,-0.307563588,-0.346956522,-0.382352941,-0.40190167,-0.405247181,-0.398385762,-0.386509207,-0.374805901,-0.363790505,-0.3534041,-0.343594306,-0.334314404,-0.325522589,-0.31718134,-0.309256887,-0.30171875,-0.294234289,-0.287395709,-0.280867793,-0.274629841,-0.268662953,-0.262949836,-0.25747464,-0.252222803,-0.20790267
40-44,-0.244565217,-0.238267148,-0.23650108,-0.234567901,-0.234693878,-0.242885182,-0.276162791,-0.317985612,-0.356416773,-0.385754986,-0.395029085,-0.391129032,-0.379697413,-0.369019422,-0.358655617,-0.34841021,-0.339145597,-0.330360934,-0.322019868,-0.314089625,-0.306813706,-0.299615385,-0.292371289,-0.285819251,-0.279554438,-0.273558368,-0.26806607,-0.262554769,-0.257265522,-0.251861444,-0.208523184
45-49,-0.232394366,-0.218309859,-0.219887955,-0.221556886,-0.219284603,-0.220457433,-0.243272336,-0.284249767,-0.327302632,-0.36129507,-0.379892038,-0.38028169,-0.370117793,-0.359855335,-0.350146628,-0.34094803,-0.332220367,-0.323561346,-0.315677966,-0.308169597,-0.301010101,-0.294175716,-0.288127413,-0.281869688,-0.275878004,-0.270135747,-0.26462766,-0.259339705,-0.254258944,-0.249373434,-0.207507821
50-54,-0.215686275,-0.207792208,-0.20233463,-0.202216066,-0.204741379,-0.20334507,-0.211624441,-0.247416021,-0.294754846,-0.331804281,-0.359389454,-0.366521739,-0.356781803,-0.347415915,-0.339057508,-0.32982866,-0.321808511,-0.314677539,-0.306661839,-0.299716914,-0.292876902,-0.286535859,-0.280463576,-0.274465327,-0.268888889,-0.263534536,-0.258231707,-0.253289474,-0.248973607,-0.243811169,-0.204381319
55-59,-0.1875,-0.180412371,-0.180981595,-0.182608696,-0.183050847,-0.181440443,-0.180751174,-0.206300813,-0.255376344,-0.294070513,-0.325362319,-0.344295302,-0.335714286,-0.32721519,-0.319135802,-0.311445783,-0.304117647,-0.297126437,-0.290449438,-0.284065934,-0.277956989,-0.272105263,-0.266220391,-0.260847629,-0.255687438,-0.250727449,-0.245956232,-0.241363212,-0.236938588,-0.232673267,-0.195537065
60-64,-0.142857143,-0.147727273,-0.146666667,-0.155660377,-0.148148148,-0.147590361,-0.147959184,-0.152654867,-0.193359375,-0.231707317,-0.262578616,-0.286743516,-0.281944444,-0.277027027,-0.270448549,-0.264175258,-0.258186398,-0.25,-0.244578313,-0.239386792,-0.234411085,-0.231376975,-0.226769912,-0.222342733,-0.218085106,-0.213987474,-0.207991803,-0.204225352,-0.200592885,-0.197087379,-0.166121113
65+,-0.125,-0.107142857,-0.083333333,-0.058823529,-0.068181818,-0.064814815,-0.0703125,-0.067567568,-0.095238095,-0.106382979,-0.115384615,-0.131578947,-0.12605042,-0.12295082,-0.12,-0.1171875,-0.114503817,-0.111940299,-0.109489051,-0.107142857,-0.104895105,-0.102739726,-0.100671141,-0.098684211,-0.096774194,-0.094936709,-0.093167702,-0.091463415,-0.089820359,-0.088235294,-0.069651741
