Age/salary,£0–5k,£5–10k,£10–15k,£15–20k,£20–25k,£25–30k,£30–35k,£35–40k,£40–45k,£45–50k,£50–55k,£55–60k,£60–65k,£65–70k,£70–75k,£75–80k,£80–85k,£85–90k,£90–95k,£95–100k,£100–105k,£105–110k,£110–115k,£115–120k,£120–125k,£125–130k,£130–135k,£135–140k,£140–145k,£145–150k,£150+
< 25,-9400,-27800,-46400,-65200,-95400,-136100,-181800,-218200,-242200,-256800,-264600,-267600,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800,-267800
25-29,-7700,-22900,-38100,-53500,-74200,-106300,-144600,-182000,-207800,-223600,-232400,-235800,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236200,-236000
30-34,-6300,-18500,-30700,-43100,-57000,-80800,-111700,-145900,-173400,-190600,-200000,-203800,-203800,-204000,-204000,-204000,-203800,-203800,-204000,-204000,-204000,-203800,-204000,-204000,-204000,-203800,-203800,-204000,-204000,-204000,-204000
35-39,-5000,-14600,-24200,-34000,-43800,-59600,-83100,-111400,-139400,-157400,-167600,-171800,-172000,-172200,-172200,-172000,-172000,-172000,-172200,-172200,-172000,-172000,-172000,-172000,-172200,-172000,-172000,-172000,-172000,-172200,-172000
40-44,-3600,-11000,-18500,-25900,-33200,-42500,-59100,-81200,-105800,-124600,-135600,-140000,-140200,-140200,-140200,-140200,-140200,-140200,-140200,-140200,-140200,-140400,-140200,-140400,-140200,-140400,-140200,-140400,-140200,-140400,-140400
45-49,-2800,-8100,-13400,-18900,-24300,-29600,-39500,-55400,-74400,-92600,-103800,-108600,-108800,-108800,-108800,-108800,-108800,-108800,-108800,-108800,-108800,-108800,-108800,-108800,-108600,-108800,-108600,-108800,-108600,-108800,-108800
50-54,-1800,-5400,-9000,-12600,-16200,-19800,-24500,-34400,-48000,-61400,-73000,-77800,-78200,-78200,-78200,-78200,-78200,-78200,-78200,-78200,-78200,-78400,-78200,-78200,-78400,-78200,-78200,-78400,-78200,-78200,-78200
55-59,-1100,-3200,-5300,-7300,-9400,-11300,-13400,-18100,-26300,-34700,-43100,-48100,-48500,-48300,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500,-48500
60-64,-300,-1100,-1900,-2700,-3500,-4300,-5100,-6100,-9300,-12700,-16100,-19300,-19700,-19500,-19700,-19700,-19700,-19700,-19500,-19700,-19700,-19700,-19700,-19500,-19700,-19700,-19700,-19700,-19500,-19700,-19500
65+,-100,-300,-300,-300,-600,-600,-800,-900,-1500,-1900,-2300,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900,-2900
