Year,Month,"Assets value (B GBP, CPI 2020)"
1992,4,14.150979248960692
1993,4,15.537511122433505
1994,4,17.174714088308487
1995,4,19.14466325630071
1996,4,21.742752100601322
1997,4,24.061910976455817
1998,4,27.461795904105117
1999,4,31.312775458916704
2000,4,36.67420401958294
2001,4,34.363623791773485
2002,4,29.90219706608045
2003,4,26.81229608088727
2004,4,30.761540903854147
2005,4,33.98194080266871
2006,4,40.06110835148599
2007,4,42.604325061422045
2008,4,40.36024141466359
2009,4,32.56566433380247
2010,4,37.169548424285786
2011,4,38.68325294702261
2012,4,38.67493631403914
2013,4,42.20738933652212
2014,4,46.20540948014414
2015,4,53.61006782039399
2016,4,54.31544148519492
2017,4,63.52119622367983
2018,4,65.85942712603877
2019,4,68.21589701505519
2020,4,66.49999999999999
2021,4,78.96799500454134
2021,9,85.98943335153996
