Year,Month,"Assets value (B GBP, CPI 2020)"
1992,4,14.237195980675434
1993,4,15.62998008670607
1994,4,17.24858730279073
1995,4,19.19650912600216
1996,4,21.800420744268195
1997,4,24.124897022205015
1998,4,27.55205978518065
1999,4,31.392489730325465
2000,4,36.76714449564625
2001,4,34.47351753067222
2002,4,29.97647118759765
2003,4,26.860249212899426
2004,4,30.836315518693084
2005,4,34.06333532120137
2006,4,40.20635969985828
2007,4,42.676285324002606
2008,4,40.523823632149075
2009,4,32.61861879981468
2010,4,37.2913362555247
2011,4,38.91038489251393
2012,4,38.814239375933596
2013,4,42.26985803417428
2014,4,46.31933615669871
2015,4,53.68853643468383
2016,4,54.34046587790022
2017,4,63.67434208294124
2018,4,66.01515512580617
2019,4,68.43840581951426
2020,4,66.49999999999999
2021,4,79.25673061018988
2021,9,86.14408847574418
