Year,Month,"Assets value (B GBP, CPI 2020)"
1992,4,10.728867623604467
1993,4,12.993001555209952
1994,4,15.405343511450381
1995,4,15.90658582089552
1996,4,19.088893013100435
1997,4,21.24688037249284
1998,4,26.477662447257384
1999,4,28.275069944598336
2000,4,32.838586088154265
2001,4,29.620499999999993
2002,4,29.102499999999996
2003,4,22.392675496688742
2004,4,27.61651636125654
2005,4,30.31821915167095
2006,4,38.67505730478589
2007,4,40.072932598039216
2008,4,37.58504583333333
2009,4,27.368998837209304
2010,4,36.73175056053812
2011,4,37.718884120171666
2012,4,38.69268229166667
2013,4,43.046685147507624
2014,4,45.54236013986014
2015,4,53.21821821821821
2016,4,53.925149700598794
2017,4,63.26530612244897
2018,4,65.47058823529412
2019,4,67.96375464684014
2020,4,66.5
2021,4,79.42870118074477
2021,9,86.49110320284697
