Year,"Annual investment return, see notes for calculation of 1987-1995 and 2015 value due to reporting change from Dec-Dec to Mar-Mar",
1987,0.126,p14 1996 see note2 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
1988,0.126,p14 1996 see note2 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
1989,0.126,p14 1996 see note2 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
1990,0.126,p14 1996 see note2 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
1991,0.126,p14 1996 see note2 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
1992,0.126,p14 1996 see note2 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
1993,0.126,p14 1996 see note2 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
1994,0.126,p14 1996 see note2 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
1995,0.126,p14 1996 see note2 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
1996,0.184,p14
1997,0.108,p3
1998,0.175,p3
1999,0.126,p19
2000,0.259,p16
2001,-0.036,p2
2002,-0.101,p2
2003,-0.167,p2
2004,0.186,p2
2005,0.089,p2
2006,0.24,p2
2007,0.099,p2
2008,0.075,p2
2009,-0.272,p2
2010,0.207,p4
2011,0.117,p4
2012,0.0032,p5
2013,0.114,p26
2014,0.128,p28
2015,0.210239915,p30 see note1 https://github.com/SussexUCU/USS/blob/main/data/assets_returns/nominal/notes_investment_returns
2016,0.0162,p5
2017,0.201,p1
2018,0.062,p23
2019,0.0574,p21
2020,-0.017,p5
2021,0.205,p20
