Year,Income Builder (DB) fund GBP bn at March each year,reference in annual report and accounts
1992,6.2,p3 of 1996
1993,7.7,estimated from graph p3 of 1996
1994,9.3,estimated from graph p3 of 1996
1995,9.8225,p41 of 1996
1996,12.0867,p41
1997,13.6685,p49
1998,17.3508,p48
1999,18.8153,p48
2000,21.9731,p48
2001,20.0382,p48
2002,19.956,p51
2003,15.582,p51
2004,19.4461,p57
2005,21.7397,p59
2006,28.3023,p61
2007,30.1378,p57
2008,29.0981,p59
2009,21.6934,p60
2010,30.1979,p54
2011,32.4,p5
2012,34.235,p5
2013,38.9999,p5
2014,42.0165,p2
2015,49,p2
2016,49.8,p1
2017,60,p1
2018,63.6,p9
2019,67.4,p2
2020,66.5,p3 
2021,80.6,p2
