Year,Term,Investment return (Best estimate) (forward) 2018 nominal basis
2019,1,0.0164
2020,2,0.0153
2021,3,0.0142
2022,4,0.0132
2023,5,0.012
2024,6,0.011
2025,7,0.0099
2026,8,0.0089
2027,9,0.0078
2028,10,0.0067
2029,11,0.0351
2030,12,0.0341
2031,13,0.0331
2032,14,0.0322
2033,15,0.0312
2034,16,0.0302
2035,17,0.0292
2036,18,0.0283
2037,19,0.0273
2038,20,0.0263
2039,21,0.0253
2040,22,0.0253
2041,23,0.0253
2042,24,0.0253
2043,25,0.0253
2044,26,0.0253
2045,27,0.0253
2046,28,0.0253
2047,29,0.0253
2048,30,0.0253
2049,31,0.0253
2050,32,0.0253
2051,33,0.0253
2052,34,0.0253
2053,35,0.0253
2054,36,0.0253
2055,37,0.0253
2056,38,0.0253
2057,39,0.0253
2058,40,0.0253
2059,41,0.0253
2060,42,0.0253
2061,43,0.0253
2062,44,0.0253
2063,45,0.0253
2064,46,0.0253
2065,47,0.0253
2066,48,0.0253
2067,49,0.0253
2068,50,0.0253
