Year,Term,Investment return (Best estimate) (forward) 2018 nominal basis
2019,1,0.0333
2020,2,0.0311
2021,3,0.0295
2022,4,0.0288
2023,5,0.0286
2024,6,0.0289
2025,7,0.0294
2026,8,0.03
2027,9,0.0305
2028,10,0.0307
2029,11,0.0601
2030,12,0.0598
2031,13,0.0592
2032,14,0.0584
2033,15,0.0574
2034,16,0.0562
2035,17,0.0549
2036,18,0.0536
2037,19,0.0521
2038,20,0.0505
2039,21,0.0489
2040,22,0.0482
2041,23,0.0473
2042,24,0.0463
2043,25,0.0452
2044,26,0.0441
2045,27,0.0428
2046,28,0.0416
2047,29,0.0405
2048,30,0.0394
2049,31,0.0384
2050,32,0.0376
2051,33,0.037
2052,34,0.0366
2053,35,0.0364
2054,36,0.0364
2055,37,0.0365
2056,38,0.0369
2057,39,0.0373
2058,40,0.038
2059,41,0.0387
2060,42,0.0396
2061,43,0.0406
2062,44,0.0416
2063,45,0.0428
2064,46,0.044
2065,47,0.0453
2066,48,0.0467
2067,49,0.048
2068,50,0.0494
