Year,Term,Estimated break-even discount rates 2014 cpi basis
2012,1,0.044
2013,2,0.044
2014,3,0.044
2015,4,0.044
2016,5,0.044
2017,6,0.044
2018,7,0.044
2019,8,0.044
2020,9,0.044
2021,10,0.044
2022,11,0.044
2023,12,0.044
2024,13,0.044
2025,14,0.044
2026,15,0.044
2027,16,0.044
2028,17,0.044
2029,18,0.044
2030,19,0.044
2031,20,0.044
2032,21,0.044
2033,22,0.044
2034,23,0.044
2035,24,0.044
2036,25,0.044
2037,26,0.044
2038,27,0.044
2039,28,0.044
2040,29,0.044
2041,30,0.044
2042,31,0.044
2043,32,0.044
2044,33,0.044
2045,34,0.044
2046,35,0.044
2047,36,0.044
2048,37,0.044
2049,38,0.044
2050,39,0.044
2051,40,0.044
2052,41,0.044
2053,42,0.044
2054,43,0.044
2055,44,0.044
2056,45,0.044
2057,46,0.044
2058,47,0.044
2059,48,0.044
2060,49,0.044
2061,50,0.044
