Year,Term,Best estimate for consultation 2017 November cpi-basis
2018,1,0.01
2019,2,0.009777778
2020,3,0.009555556
2021,4,0.009333333
2022,5,0.009111111
2023,6,0.008888889
2024,7,0.008666667
2025,8,0.008444444
2026,9,0.008222222
2027,10,0.008
2028,11,0.0354
2029,12,0.034311111
2030,13,0.033222222
2031,14,0.032133333
2032,15,0.031044444
2033,16,0.029955556
2034,17,0.028866667
2035,18,0.027777778
2036,19,0.026688889
2037,20,0.0256
2038,21,0.0256
2039,22,0.0256
2040,23,0.0256
2041,24,0.0256
2042,25,0.0256
2043,26,0.0256
2044,27,0.0256
2045,28,0.0256
2046,29,0.0256
2047,30,0.0256
2048,31,0.0256
2049,32,0.0256
2050,33,0.0256
2051,34,0.0256
2052,35,0.0256
2053,36,0.0256
2054,37,0.0256
2055,38,0.0256
2056,39,0.0256
2057,40,0.0256
2058,41,0.0256
2059,42,0.0256
2060,43,0.0256
2061,44,0.0256
2062,45,0.0256
2063,46,0.0256
2064,47,0.0256
2065,48,0.0256
2066,49,0.0256
2067,50,0.0256
