Year,Term,Investment return (Best estimate) 2020 cpi basis
2021,1,0.017
2022,2,0.017
2023,3,0.017
2024,4,0.017
2025,5,0.017
2026,6,0.017
2027,7,0.017
2028,8,0.017
2029,9,0.017
2030,10,0.017
2031,11,0.017
2032,12,0.017
2033,13,0.017
2034,14,0.017
2035,15,0.017
2036,16,0.017
2037,17,0.017
2038,18,0.017
2039,19,0.017
2040,20,0.017
2041,21,0.017
2042,22,0.017
2043,23,0.017
2044,24,0.017
2045,25,0.017
2046,26,0.017
2047,27,0.017
2048,28,0.017
2049,29,0.017
2050,30,0.017
2051,31,0.017
2052,32,0.017
2053,33,0.017
2054,34,0.017
2055,35,0.017
2056,36,0.017
2057,37,0.017
2058,38,0.017
2059,39,0.017
2060,40,0.017
2061,41,0.017
2062,42,0.017
2063,43,0.017
2064,44,0.017
2065,45,0.017
2066,46,0.017
2067,47,0.017
2068,48,0.017
2069,49,0.017
2070,50,0.017
