Year,Term,Estimated break-even discount rates 2014 cpi basis
2015,1,0.032
2016,2,0.032
2017,3,0.032
2018,4,0.032
2019,5,0.032
2020,6,0.032
2021,7,0.032
2022,8,0.032
2023,9,0.032
2024,10,0.032
2025,11,0.032
2026,12,0.032
2027,13,0.032
2028,14,0.032
2029,15,0.032
2030,16,0.032
2031,17,0.032
2032,18,0.032
2033,19,0.032
2034,20,0.032
2035,21,0.032
2036,22,0.032
2037,23,0.032
2038,24,0.032
2039,25,0.032
2040,26,0.032
2041,27,0.032
2042,28,0.032
2043,29,0.032
2044,30,0.032
2045,31,0.032
2046,32,0.032
2047,33,0.032
2048,34,0.032
2049,35,0.032
2050,36,0.032
2051,37,0.032
2052,38,0.032
2053,39,0.032
2054,40,0.032
2055,41,0.032
2056,42,0.032
2057,43,0.032
2058,44,0.032
2059,45,0.032
2060,46,0.032
2061,47,0.032
2062,48,0.032
2063,49,0.032
2064,50,0.032
