Year,Term,Derived break-even discount rates 2020 cpi basis
2021,1,0.0119
2022,2,0.0119
2023,3,0.0119
2024,4,0.0119
2025,5,0.0119
2026,6,0.0119
2027,7,0.0119
2028,8,0.0119
2029,9,0.0119
2030,10,0.0119
2031,11,0.0119
2032,12,0.0119
2033,13,0.0119
2034,14,0.0119
2035,15,0.0119
2036,16,0.0119
2037,17,0.0119
2038,18,0.0119
2039,19,0.0119
2040,20,0.0119
2041,21,0.0119
2042,22,0.0119
2043,23,0.0119
2044,24,0.0119
2045,25,0.0119
2046,26,0.0119
2047,27,0.0119
2048,28,0.0119
2049,29,0.0119
2050,30,0.0119
2051,31,0.0119
2052,32,0.0119
2053,33,0.0119
2054,34,0.0119
2055,35,0.0119
2056,36,0.0119
2057,37,0.0119
2058,38,0.0119
2059,39,0.0119
2060,40,0.0119
2061,41,0.0119
2062,42,0.0119
2063,43,0.0119
2064,44,0.0119
2065,45,0.0119
2066,46,0.0119
2067,47,0.0119
2068,48,0.0119
2069,49,0.0119
2070,50,0.0119
