Year,Term,USS FMP March 2022 break-even discount rates 2022 cpi basis
2022,1,-0.0002
2023,2,-0.0002
2024,3,-0.0002
2025,4,-0.0002
2026,5,-0.0002
2027,6,-0.0002
2028,7,-0.0002
2029,8,-0.0002
2030,9,-0.0002
2031,10,-0.0002
2032,11,-0.0002
2033,12,-0.0002
2034,13,-0.0002
2035,14,-0.0002
2036,15,-0.0002
2037,16,-0.0002
2038,17,-0.0002
2039,18,-0.0002
2040,19,-0.0002
2041,20,-0.0002
2042,21,-0.0002
2043,22,-0.0002
2044,23,-0.0002
2045,24,-0.0002
2046,25,-0.0002
2047,26,-0.0002
2048,27,-0.0002
2049,28,-0.0002
2050,29,-0.0002
2051,30,-0.0002
2052,31,-0.0002
2053,32,-0.0002
2054,33,-0.0002
2055,34,-0.0002
2056,35,-0.0002
2057,36,-0.0002
2058,37,-0.0002
2059,38,-0.0002
2060,39,-0.0002
2061,40,-0.0002
2062,41,-0.0002
2063,42,-0.0002
2064,43,-0.0002
2065,44,-0.0002
2066,45,-0.0002
2067,46,-0.0002
2068,47,-0.0002
2069,48,-0.0002
2070,49,-0.0002
2071,50,-0.0002
