Year,Term,Estimated break-even discount rates December 2021 cpi basis
2015,1,-0.23
2016,2,-0.23
2017,3,-0.23
2018,4,-0.23
2019,5,-0.23
2020,6,-0.23
2021,7,-0.23
2022,8,-0.23
2023,9,-0.23
2024,10,-0.23
2025,11,-0.23
2026,12,-0.23
2027,13,-0.23
2028,14,-0.23
2029,15,-0.23
2030,16,-0.23
2031,17,-0.23
2032,18,-0.23
2033,19,-0.23
2034,20,-0.23
2035,21,-0.23
2036,22,-0.23
2037,23,-0.23
2038,24,-0.23
2039,25,-0.23
2040,26,-0.23
2041,27,-0.23
2042,28,-0.23
2043,29,-0.23
2044,30,-0.23
2045,31,-0.23
2046,32,-0.23
2047,33,-0.23
2048,34,-0.23
2049,35,-0.23
2050,36,-0.23
2051,37,-0.23
2052,38,-0.23
2053,39,-0.23
2054,40,-0.23
2055,41,-0.23
2056,42,-0.23
2057,43,-0.23
2058,44,-0.23
2059,45,-0.23
2060,46,-0.23
2061,47,-0.23
2062,48,-0.23
2063,49,-0.23
2064,50,-0.23
