Year,Term,Estimated break-even discount rates November 2021 cpi basis
2022,1,-0.28
2023,2,-0.28
2024,3,-0.28
2025,4,-0.28
2026,5,-0.28
2027,6,-0.28
2028,7,-0.28
2029,8,-0.28
2030,9,-0.28
2031,10,-0.28
2032,11,-0.28
2033,12,-0.28
2034,13,-0.28
2035,14,-0.28
2036,15,-0.28
2037,16,-0.28
2038,17,-0.28
2039,18,-0.28
2040,19,-0.28
2041,20,-0.28
2042,21,-0.28
2043,22,-0.28
2044,23,-0.28
2045,24,-0.28
2046,25,-0.28
2047,26,-0.28
2048,27,-0.28
2049,28,-0.28
2050,29,-0.28
2051,30,-0.28
2052,31,-0.28
2053,32,-0.28
2054,33,-0.28
2055,34,-0.28
2056,35,-0.28
2057,36,-0.28
2058,37,-0.28
2059,38,-0.28
2060,39,-0.28
2061,40,-0.28
2062,41,-0.28
2063,42,-0.28
2064,43,-0.28
2065,44,-0.28
2066,45,-0.28
2067,46,-0.28
2068,47,-0.28
2069,48,-0.28
2070,49,-0.28
2071,50,-0.28
