Year,Term,Estimated break-even discount rates October 2021 cpi basis
2022,1,-0.15
2023,2,-0.15
2024,3,-0.15
2025,4,-0.15
2026,5,-0.15
2027,6,-0.15
2028,7,-0.15
2029,8,-0.15
2030,9,-0.15
2031,10,-0.15
2032,11,-0.15
2033,12,-0.15
2034,13,-0.15
2035,14,-0.15
2036,15,-0.15
2037,16,-0.15
2038,17,-0.15
2039,18,-0.15
2040,19,-0.15
2041,20,-0.15
2042,21,-0.15
2043,22,-0.15
2044,23,-0.15
2045,24,-0.15
2046,25,-0.15
2047,26,-0.15
2048,27,-0.15
2049,28,-0.15
2050,29,-0.15
2051,30,-0.15
2052,31,-0.15
2053,32,-0.15
2054,33,-0.15
2055,34,-0.15
2056,35,-0.15
2057,36,-0.15
2058,37,-0.15
2059,38,-0.15
2060,39,-0.15
2061,40,-0.15
2062,41,-0.15
2063,42,-0.15
2064,43,-0.15
2065,44,-0.15
2066,45,-0.15
2067,46,-0.15
2068,47,-0.15
2069,48,-0.15
2070,49,-0.15
2071,50,-0.15
