Year to,Expected cash flows (£bn) in relation to benefits accrued at 31 March 2020,Expected cash flows (£bn) in relation to benefits projected to be accrued in 2020/21,,
31 March 2021,2.24,0.042,,
31 March 2022,2.04,0.006,,
31 March 2023,2.11,0.009,,
31 March 2024,2.16,0.011,,
31 March 2025,2.24,0.013,,
31 March 2026,2.32,0.016,,
31 March 2027,2.39,0.02,,
31 March 2028,2.48,0.023,,
31 March 2029,2.57,0.027,,
31 March 2030,2.65,0.032,,
31 March 2031,2.74,0.036,,
31 March 2032,2.81,0.041,,
31 March 2033,2.88,0.045,,
31 March 2034,2.95,0.05,,
31 March 2035,3.01,0.056,,
31 March 2036,3.08,0.061,,
31 March 2037,3.14,0.067,,
31 March 2038,3.18,0.074,,
31 March 2039,3.22,0.079,,
31 March 2040,3.25,0.085,,
31 March 2041,3.27,0.091,,
31 March 2042,3.3,0.098,,
31 March 2043,3.3,0.105,,
31 March 2044,3.31,0.112,,
31 March 2045,3.31,0.12,,
31 March 2046,3.28,0.128,,
31 March 2047,3.24,0.135,,
31 March 2048,3.2,0.142,,
31 March 2049,3.14,0.148,,
31 March 2050,3.08,0.154,,
31 March 2051,3.01,0.16,,
31 March 2052,2.94,0.165,,
31 March 2053,2.86,0.169,,
31 March 2054,2.77,0.174,,
31 March 2055,2.68,0.176,,
31 March 2056,2.58,0.178,,
31 March 2057,2.48,0.179,,
31 March 2058,2.38,0.178,,
31 March 2059,2.27,0.177,,
31 March 2060,2.17,0.174,,
31 March 2061,2.07,0.171,,
31 March 2062,1.97,0.168,,
31 March 2063,1.86,0.165,,
31 March 2064,1.76,0.162,,
31 March 2065,1.66,0.158,,
31 March 2066,1.56,0.154,,
31 March 2067,1.46,0.15,,
31 March 2068,1.37,0.146,,
31 March 2069,1.27,0.141,,
31 March 2070,1.18,0.136,,
31 March 2071,1.09,0.131,,
31 March 2072,1,0.126,,
31 March 2073,0.91,0.121,,
31 March 2074,0.83,0.115,,
31 March 2075,0.75,0.109,,
31 March 2076,0.68,0.103,,
31 March 2077,0.6,0.096,,
31 March 2078,0.54,0.09,,
31 March 2079,0.47,0.083,,
31 March 2080,0.41,0.077,,
31 March 2081,0.36,0.07,,
31 March 2082,0.31,0.064,,
31 March 2083,0.26,0.057,,
31 March 2084,0.22,0.051,,
31 March 2085,0.18,0.045,,
31 March 2086,0.15,0.039,,
31 March 2087,0.12,0.034,,
31 March 2088,0.1,0.029,,
31 March 2089,0.08,0.024,,
31 March 2090,0.06,0.02,,
31 March 2091,0.05,0.017,,
31 March 2092,0.04,0.013,,
31 March 2093,0.03,0.011,,
31 March 2094,0.02,0.008,,
31 March 2095,0.02,0.006,,
31 March 2096,0.01,0.005,,
31 March 2097,0.01,0.003,,
31 March 2098,0.01,0.003,,
31 March 2099,0,0.002,,
31 March 2100,0,0.001,,
31 March 2101,0,0.001,,
31 March 2102,0,0.001,,
