Year,Month,"Assets value (B GBP, CPI 2023.25)"
1987,1,nan
1988,1,nan
1989,1,16.0190016844769
1990,1,17.09337926429183
1991,1,17.923774611775404
1992,1,18.853118250062572
1993,1,20.72324505743853
1994,1,22.756345378579713
1995,1,25.080082985519695
1996,1,28.863919444688015
1997,1,31.312584699263237
1998,1,36.19219012460115
1999,1,40.12631670617188
2000,1,50.06492837417298
2001,1,47.83210984304858
2002,1,42.4476328817274
2003,1,34.84005729623685
2004,1,40.74934968823449
2005,1,43.68625411104254
2006,1,53.13846510382653
2007,1,56.77631927462805
2008,1,59.74283676652623
2009,1,42.216572356127955
2010,1,49.38994559426374
2011,1,53.143176164983615
2012,1,51.289918825212446
2013,1,55.66965186835281
2014,1,61.56230360532181
2014,4,62.32331977201244
2015,1,69.39529502432211
2015,4,72.23868263116795
2016,4,73.11586288739858
2017,4,85.67472490284696
2018,4,88.82432185094292
2019,4,92.0848398203888
2020,4,89.47668746412826
2021,4,106.64104833438446
2022,4,108.111470581014
2022,7,91.58178778281415
2022,10,83.73088958920029
2023,4,73.10000000000001
