Year,Month,"Assets value (B GBP, CPI 2023.25)"
1992,4,12.892208742181987
1993,4,15.610684096020698
1994,4,18.478677016038386
1995,4,19.049648805825772
1996,4,22.85949214647473
1997,4,25.44286408086708
1998,4,31.727821306043147
1999,4,33.856601180010635
2000,4,39.32050868168065
2001,4,35.49069477676093
2002,4,34.84521735530706
2003,4,26.792762259457746
2004,4,33.06425650520326
2005,4,36.297620134802095
2006,4,46.3594453813192
2007,4,47.94237218055408
2008,4,45.07204031378629
2009,4,32.74160833375525
2010,4,44.01470139860677
2011,4,45.31446405737784
2012,4,46.379470134876705
2013,4,51.489358995833975
2014,4,54.52811806118577
2015,4,63.654778481285554
2016,4,64.43574818221805
2017,4,75.74376427747508
2018,4,78.3803890919085
2019,4,81.43800504902833
2020,4,79.42498069852812
2021,4,95.21337849877632
2022,4,97.2294759049044
2023,4,73.1
