Year,Term,"CPI (forward) at March 2008. Nominal basis. Calculated from USS formula, assuming RPI-CPI in 2008 is as reported 2011."
2009,1,0.025
2010,2,0.025
2011,3,0.025
2012,4,0.025
2013,5,0.025
2014,6,0.025
2015,7,0.025
2016,8,0.025
2017,9,0.025
2018,10,0.025
2019,11,0.025
2020,12,0.025
2021,13,0.025
2022,14,0.025
2023,15,0.025
2024,16,0.025
2025,17,0.025
2026,18,0.025
2027,19,0.025
2028,20,0.025
2029,21,0.025
2030,22,0.025
2031,23,0.025
2032,24,0.025
2033,25,0.025
2034,26,0.025
2035,27,0.025
2036,28,0.025
2037,29,0.025
2038,30,0.025
2039,31,0.025
2040,32,0.025
2041,33,0.025
2042,34,0.025
2043,35,0.025
2044,36,0.025
2045,37,0.025
2046,38,0.025
2047,39,0.025
2048,40,0.025
2049,41,0.025
2050,42,0.025
2051,43,0.025
2052,44,0.025
2053,45,0.025
2054,46,0.025
2055,47,0.025
2056,48,0.025
2057,49,0.025
2058,50,0.025
