Year,Term,CPI (forward) at March 2011. Nominal basis. Calculated from USS formula.
2012,1,0.026
2013,2,0.026
2014,3,0.026
2015,4,0.026
2016,5,0.026
2017,6,0.026
2018,7,0.026
2019,8,0.026
2020,9,0.026
2021,10,0.026
2022,11,0.026
2023,12,0.026
2024,13,0.026
2025,14,0.026
2026,15,0.026
2027,16,0.026
2028,17,0.026
2029,18,0.026
2030,19,0.026
2031,20,0.026
2032,21,0.026
2033,22,0.026
2034,23,0.026
2035,24,0.026
2036,25,0.026
2037,26,0.026
2038,27,0.026
2039,28,0.026
2040,29,0.026
2041,30,0.026
2042,31,0.026
2043,32,0.026
2044,33,0.026
2045,34,0.026
2046,35,0.026
2047,36,0.026
2048,37,0.026
2049,38,0.026
2050,39,0.026
2051,40,0.026
2052,41,0.026
2053,42,0.026
2054,43,0.026
2055,44,0.026
2056,45,0.026
2057,46,0.026
2058,47,0.026
2059,48,0.026
2060,49,0.026
2061,50,0.026
