Term,CPI (forward) at March 2014. Nominal basis. Calculated from USS formula.
1,0.026
2,0.02605
3,0.0261
4,0.02615
5,0.0262
6,0.02625
7,0.0263
8,0.02635
9,0.0264
10,0.02645
11,0.0265
12,0.02655
13,0.0266
14,0.02665
15,0.0267
16,0.02675
17,0.0268
18,0.02685
19,0.0269
20,0.02695
21,0.027
22,0.027
23,0.027
24,0.027
25,0.027
26,0.027
27,0.027
28,0.027
29,0.027
30,0.027
31,0.027
32,0.027
33,0.027
34,0.027
35,0.027
36,0.027
37,0.027
38,0.027
39,0.027
40,0.027
41,0.027
42,0.027
43,0.027
44,0.027
45,0.027
46,0.027
47,0.027
48,0.027
49,0.027
50,0.027
