Year,Term,CPI (forward) at March 2017. Nominal basis.
2018,1,0.0253
2019,2,0.0127
2020,3,0.0126
2021,4,0.0141
2022,5,0.0157
2023,6,0.0176
2024,7,0.0194
2025,8,0.0213
2026,9,0.0229
2027,10,0.0243
2028,11,0.0255
2029,12,0.0265
2030,13,0.0274
2031,14,0.028
2032,15,0.0285
2033,16,0.0287
2034,17,0.0287
2035,18,0.0285
2036,19,0.028
2037,20,0.0273
2038,21,0.0264
2039,22,0.0252
2040,23,0.0239
2041,24,0.0224
2042,25,0.0208
2043,26,0.0191
2044,27,0.0176
2045,28,0.0161
2046,29,0.0147
2047,30,0.0135
2048,31,0.0126
2049,32,0.012
2050,33,0.0116
2051,34,0.0114
2052,35,0.0115
2053,36,0.0118
2054,37,0.0123
2055,38,0.0129
2056,39,0.0137
2057,40,0.0147
2058,41,0.0157
2059,42,0.0169
2060,43,0.0181
2061,44,0.0194
2062,45,0.0207
2063,46,0.0221
2064,47,0.0235
2065,48,0.0249
2066,49,0.0263
2067,50,0.0277
