Year,Term,CPI rates. The 1-year forward rates as at 31 March 2020. Nominal basis.,Gilt yield . The 1-year forward rates as at 31 March 2020. Nominal basis
2021,1,0.0126,0.0018
2022,2,0.0143,0.0018
2023,3,0.0159,0.0019
2024,4,0.0175,0.0017
2025,5,0.019,0.0016
2026,6,0.0203,0.002
2027,7,0.0215,0.0033
2028,8,0.0223,0.0053
2029,9,0.0229,0.0077
2030,10,0.0232,0.01
2031,11,0.0242,0.012
2032,12,0.0249,0.0135
2033,13,0.0253,0.0143
2034,14,0.0255,0.0148
2035,15,0.0255,0.0149
2036,16,0.0254,0.0149
2037,17,0.0251,0.0147
2038,18,0.0248,0.0144
2039,19,0.0246,0.0139
2040,20,0.0244,0.0133
2041,21,0.0233,0.0125
2042,22,0.0223,0.0114
2043,23,0.0214,0.0103
2044,24,0.0205,0.0092
2045,25,0.0197,0.008
2046,26,0.019,0.007
2047,27,0.0184,0.006
2048,28,0.0179,0.0052
2049,29,0.0175,0.0045
2050,30,0.0173,0.004
2051,31,0.0171,0.0036
2052,32,0.017,0.0033
2053,33,0.0169,0.0032
2054,34,0.0169,0.0031
2055,35,0.017,0.003
2056,36,0.0171,0.003
2057,37,0.0172,0.003
2058,38,0.0174,0.0031
2059,39,0.0177,0.0031
2060,40,0.018,0.0032
2061,41,0.0183,0.0032
2062,42,0.0187,0.0032
2063,43,0.019,0.0032
2064,44,0.0193,0.0031
2065,45,0.0195,0.0031
2066,46,0.0196,0.003
2067,47,0.0197,0.003
2068,48,0.0198,0.0029
2069,49,0.0198,0.0028
2070,50,0.0198,0.0028
2071,51,0.0198,0.0028
2072,52,0.0198,0.0028
2073,53,0.0198,0.0028
2074,54,0.0198,0.0028
2075,55,0.0198,0.0028
2076,56,0.0198,0.0028
2077,57,0.0198,0.0028
2078,58,0.0198,0.0028
2079,59,0.0198,0.0028
2080,60,0.0198,0.0028
2081,61,0.0198,0.0028
2082,62,0.0198,0.0028
2083,63,0.0198,0.0028
2084,64,0.0198,0.0028
2085,65,0.0198,0.0028
2086,66,0.0198,0.0028
2087,67,0.0198,0.0028
2088,68,0.0198,0.0028
2089,69,0.0198,0.0028
2090,70,0.0198,0.0028
2091,71,0.0198,0.0028
2092,72,0.0198,0.0028
2093,73,0.0198,0.0028
2094,74,0.0198,0.0028
2095,75,0.0198,0.0028
2096,76,0.0198,0.0028
2097,77,0.0198,0.0028
2098,78,0.0198,0.0028
2099,79,0.0198,0.0028
2100,80,0.0198,0.0028
2101,81,0.0198,0.0028
2102,82,0.0198,0.0028
,,,
,0,0,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,1.77%,0.0183,0.018
