Year,CPI rates. The 1-year forward rates as at 31 March 2020. Nominal basis.,Gilt yield . The 1-year forward rates as at 31 March 2020. Nominal basis
1,0.0126,0.0018
2,0.0143,0.0018
3,0.0159,0.0019
4,0.0175,0.0017
5,0.019,0.0016
6,0.0203,0.002
7,0.0215,0.0033
8,0.0223,0.0053
9,0.0229,0.0077
10,0.0232,0.01
11,0.0242,0.012
12,0.0249,0.0135
13,0.0253,0.0143
14,0.0255,0.0148
15,0.0255,0.0149
16,0.0254,0.0149
17,0.0251,0.0147
18,0.0248,0.0144
19,0.0246,0.0139
20,0.0244,0.0133
21,0.0233,0.0125
22,0.0223,0.0114
23,0.0214,0.0103
24,0.0205,0.0092
25,0.0197,0.008
26,0.019,0.007
27,0.0184,0.006
28,0.0179,0.0052
29,0.0175,0.0045
30,0.0173,0.004
31,0.0171,0.0036
32,0.017,0.0033
33,0.0169,0.0032
34,0.0169,0.0031
35,0.017,0.003
36,0.0171,0.003
37,0.0172,0.003
38,0.0174,0.0031
39,0.0177,0.0031
40,0.018,0.0032
41,0.0183,0.0032
42,0.0187,0.0032
43,0.019,0.0032
44,0.0193,0.0031
45,0.0195,0.0031
46,0.0196,0.003
47,0.0197,0.003
48,0.0198,0.0029
49,0.0198,0.0028
50,0.0198,0.0028
51,0.0198,0.0028
52,0.0198,0.0028
53,0.0198,0.0028
54,0.0198,0.0028
55,0.0198,0.0028
56,0.0198,0.0028
57,0.0198,0.0028
58,0.0198,0.0028
59,0.0198,0.0028
60,0.0198,0.0028
61,0.0198,0.0028
62,0.0198,0.0028
63,0.0198,0.0028
64,0.0198,0.0028
65,0.0198,0.0028
66,0.0198,0.0028
67,0.0198,0.0028
68,0.0198,0.0028
69,0.0198,0.0028
70,0.0198,0.0028
71,0.0198,0.0028
72,0.0198,0.0028
73,0.0198,0.0028
74,0.0198,0.0028
75,0.0198,0.0028
76,0.0198,0.0028
77,0.0198,0.0028
78,0.0198,0.0028
79,0.0198,0.0028
80,0.0198,0.0028
81,0.0198,0.0028
82,0.0198,0.0028
