CPI rates. The 1-year forward rates as at 31 March 2020. Nominal basis.	Gilt yield . The 1-year forward rates as at 31 March 2020. Nominal basis
0.0126	0.0018
0.0143	0.0018
0.0159	0.0019
0.0175	0.0017
0.019	0.0016
0.0203	0.002
0.0215	0.0033
0.0223	0.0053
0.0229	0.0077
0.0232	0.01
0.0242	0.012
0.0249	0.0135
0.0253	0.0143
0.0255	0.0148
0.0255	0.0149
0.0254	0.0149
0.0251	0.0147
0.0248	0.0144
0.0246	0.0139
0.0244	0.0133
0.0233	0.0125
0.0223	0.0114
0.0214	0.0103
0.0205	0.0092
0.0197	0.008
0.019	0.007
0.0184	0.006
0.0179	0.0052
0.0175	0.0045
0.0173	0.004
0.0171	0.0036
0.017	0.0033
0.0169	0.0032
0.0169	0.0031
0.017	0.003
0.0171	0.003
0.0172	0.003
0.0174	0.0031
0.0177	0.0031
0.018	0.0032
0.0183	0.0032
0.0187	0.0032
0.019	0.0032
0.0193	0.0031
0.0195	0.0031
0.0196	0.003
0.0197	0.003
0.0198	0.0029
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
0.0198	0.0028
