Term,Discount rate for Technical Provisions 2011 (forward) nominal basis from USS formula
1,0.061000
2,0.061000
3,0.061000
4,0.061000
5,0.061000
6,0.061000
7,0.061000
8,0.061000
9,0.061000
10,0.061000
11,0.061000
12,0.061000
13,0.061000
14,0.061000
15,0.061000
16,0.061000
17,0.061000
18,0.061000
19,0.061000
20,0.061000
21,0.061000
22,0.061000
23,0.061000
24,0.061000
25,0.061000
26,0.061000
27,0.061000
28,0.061000
29,0.061000
30,0.061000
31,0.061000
32,0.061000
33,0.061000
34,0.061000
35,0.061000
36,0.061000
37,0.061000
38,0.061000
39,0.061000
40,0.061000
41,0.061000
42,0.061000
43,0.061000
44,0.061000
45,0.061000
46,0.061000
47,0.061000
48,0.061000
49,0.061000
50,0.061000
