Term,Discount rate for Technical Provisions 2014 (forward) nominal basis from USS formula
1,0.052000
2,0.051750
3,0.051500
4,0.051250
5,0.051000
6,0.050750
7,0.050500
8,0.050250
9,0.050000
10,0.049750
11,0.049500
12,0.049250
13,0.049000
14,0.048750
15,0.048500
16,0.048250
17,0.048000
18,0.047750
19,0.047500
20,0.047250
21,0.047000
22,0.047000
23,0.047000
24,0.047000
25,0.047000
26,0.047000
27,0.047000
28,0.047000
29,0.047000
30,0.047000
31,0.047000
32,0.047000
33,0.047000
34,0.047000
35,0.047000
36,0.047000
37,0.047000
38,0.047000
39,0.047000
40,0.047000
41,0.047000
42,0.047000
43,0.047000
44,0.047000
45,0.047000
46,0.047000
47,0.047000
48,0.047000
49,0.047000
50,0.047000
