Term,Discount rate for Technical Provisions 2018 (forward) nominal basis
1,1.83%
2,1.62%
3,1.47%
4,1.41%
5,1.41%
6,1.45%
7,1.51%
8,1.58%
9,1.63%
10,1.67%
11,5.02%
12,4.99%
13,4.94%
14,4.85%
15,4.75%
16,4.64%
17,4.51%
18,4.37%
19,4.22%
20,4.07%
21,3.91%
22,3.84%
23,3.75%
24,3.65%
25,3.54%
26,3.43%
27,3.30%
28,3.18%
29,3.07%
30,2.96%
31,2.86%
32,2.78%
33,2.72%
34,2.68%
35,2.66%
36,2.66%
37,2.67%
38,2.71%
39,2.75%
40,2.82%
41,2.89%
42,2.98%
43,3.08%
44,3.18%
45,3.30%
46,3.42%
47,3.55%
48,3.69%
49,3.82%
50,3.96%
