Term,Discount rate for consultation 2017 September (1-year forward) cpi-basis
1,-0.0053
2,-0.0053
3,-0.0053
4,-0.0053
5,-0.0053
6,-0.0053
7,-0.0053
8,-0.0053
9,-0.0053
10,-0.0053
11,0.028
12,0.0269
13,0.0258
14,0.0247
15,0.0236
16,0.0225
17,0.0214
18,0.0203
19,0.0192
20,0.0181
21,0.017
22,0.017
23,0.017
24,0.017
25,0.017
26,0.017
27,0.017
28,0.017
29,0.017
30,0.017
31,0.017
32,0.017
33,0.017
34,0.017
35,0.017
36,0.017
37,0.017
38,0.017
39,0.017
40,0.017
41,0.017
42,0.017
43,0.017
44,0.017
45,0.017
46,0.017
47,0.017
48,0.017
49,0.017
50,0.017
