Term,Discount rate for valuation 2018 (1-year forward) cpi-basis
1,0.0014
2,0.0004
3,-0.0006
4,-0.0015
5,-0.0025
6,-0.0034
7,-0.0044
8,-0.0053
9,-0.0064
10,-0.0073
11,0.0252
12,0.0242
13,0.0233
14,0.0223
15,0.0213
16,0.0204
17,0.0194
18,0.0184
19,0.0174
20,0.0165
21,0.0155
22,0.0155
23,0.0155
24,0.0155
25,0.0155
26,0.0155
27,0.0155
28,0.0155
29,0.0155
30,0.0155
31,0.0155
32,0.0155
33,0.0155
34,0.0155
35,0.0155
36,0.0155
37,0.0155
38,0.0155
39,0.0155
40,0.0155
41,0.0155
42,0.0155
43,0.0155
44,0.0155
45,0.0155
46,0.0155
47,0.0155
48,0.0155
49,0.0155
50,0.0155
