Year,Term,Discount rate for interim valuation 2019 (1-year forward) cpi-basis
2020,1,-0.002
2021,2,-0.003122222
2022,3,-0.004244444
2023,4,-0.005366667
2024,5,-0.006488889
2025,6,-0.007611111
2026,7,-0.008733333
2027,8,-0.009855556
2028,9,-0.010977778
2029,10,-0.0121
2030,11,0.0237
2031,12,0.022777778
2032,13,0.021855556
2033,14,0.020933333
2034,15,0.020011111
2035,16,0.019088889
2036,17,0.018166667
2037,18,0.017244444
2038,19,0.016322222
2039,20,0.0154
2040,21,0.0154
2041,22,0.0154
2042,23,0.0154
2043,24,0.0154
2044,25,0.0154
2045,26,0.0154
2046,27,0.0154
2047,28,0.0154
2048,29,0.0154
2049,30,0.0154
2050,31,0.0154
2051,32,0.0154
2052,33,0.0154
2053,34,0.0154
2054,35,0.0154
2055,36,0.0154
2056,37,0.0154
2057,38,0.0154
2058,39,0.0154
2059,40,0.0154
2060,41,0.0154
2061,42,0.0154
2062,43,0.0154
2063,44,0.0154
2064,45,0.0154
2065,46,0.0154
2066,47,0.0154
2067,48,0.0154
2068,49,0.0154
2069,50,0.0154
