Year,Term,Discount rate for 2020 valuation with UUK cuts (1-year forward) cpi-basis
2021,1,0.2
2022,2,0.2
2023,3,0.2
2024,4,0.2
2025,5,0.2
2026,6,0.2
2027,7,0.2
2028,8,0.2
2029,9,0.2
2030,10,0.2
2031,11,0.2
2032,12,0.2
2033,13,0.2
2034,14,0.2
2035,15,0.2
2036,16,0.2
2037,17,0.2
2038,18,0.2
2039,19,0.2
2040,20,0.2
2041,21,0.2
2042,22,0.2
2043,23,0.2
2044,24,0.2
2045,25,0.2
2046,26,0.2
2047,27,0.2
2048,28,0.2
2049,29,0.2
2050,30,0.2
2051,31,0.2
2052,32,0.2
2053,33,0.2
2054,34,0.2
2055,35,0.2
2056,36,0.2
2057,37,0.2
2058,38,0.2
2059,39,0.2
2060,40,0.2
2061,41,0.2
2062,42,0.2
2063,43,0.2
2064,44,0.2
2065,45,0.2
2066,46,0.2
2067,47,0.2
2068,48,0.2
2069,49,0.2
2070,50,0.2
