Year,Term,Discount rate USS present for 2022 AYR without UUK cuts (1-year forward) cpi-basis
2023,1,-0.002
2024,2,-0.002
2025,3,-0.002
2026,4,-0.002
2027,5,-0.002
2028,6,-0.002
2029,7,-0.002
2030,8,-0.002
2031,9,-0.002
2032,10,-0.002
2033,11,-0.002
2034,12,-0.002
2035,13,-0.002
2036,14,-0.002
2037,15,-0.002
2038,16,-0.002
2039,17,-0.002
2040,18,-0.002
2041,19,-0.002
2042,20,-0.002
2043,21,-0.002
2044,22,-0.002
2045,23,-0.002
2046,24,-0.002
2047,25,-0.002
2048,26,-0.002
2049,27,-0.002
2050,28,-0.002
2051,29,-0.002
2052,30,-0.002
2053,31,-0.002
2054,32,-0.002
2055,33,-0.002
2056,34,-0.002
2057,35,-0.002
2058,36,-0.002
2059,37,-0.002
2060,38,-0.002
2061,39,-0.002
2062,40,-0.002
2063,41,-0.002
2064,42,-0.002
2065,43,-0.002
2066,44,-0.002
2067,45,-0.002
2068,46,-0.002
2069,47,-0.002
2070,48,-0.002
2071,49,-0.002
2072,50,-0.002
