Year,Term,Discount rate estimated from USS 2022 June FMP without UUK cuts (1-year forward) cpi-basis
2023,1,0.008
2024,2,0.008
2025,3,0.008
2026,4,0.008
2027,5,0.008
2028,6,0.008
2029,7,0.008
2030,8,0.008
2031,9,0.008
2032,10,0.008
2033,11,0.008
2034,12,0.008
2035,13,0.008
2036,14,0.008
2037,15,0.008
2038,16,0.008
2039,17,0.008
2040,18,0.008
2041,19,0.008
2042,20,0.008
2043,21,0.008
2044,22,0.008
2045,23,0.008
2046,24,0.008
2047,25,0.008
2048,26,0.008
2049,27,0.008
2050,28,0.008
2051,29,0.008
2052,30,0.008
2053,31,0.008
2054,32,0.008
2055,33,0.008
2056,34,0.008
2057,35,0.008
2058,36,0.008
2059,37,0.008
2060,38,0.008
2061,39,0.008
2062,40,0.008
2063,41,0.008
2064,42,0.008
2065,43,0.008
2066,44,0.008
2067,45,0.008
2068,46,0.008
2069,47,0.008
2070,48,0.008
2071,49,0.008
2072,50,0.008
