Year,Term,Discount rate estimated from USS 2022 June FMP without UUK cuts (1-year forward) cpi-basis
2023,1,0.015
2024,2,0.015
2025,3,0.015
2026,4,0.015
2027,5,0.015
2028,6,0.015
2029,7,0.015
2030,8,0.015
2031,9,0.015
2032,10,0.015
2033,11,0.015
2034,12,0.015
2035,13,0.015
2036,14,0.015
2037,15,0.015
2038,16,0.015
2039,17,0.015
2040,18,0.015
2041,19,0.015
2042,20,0.015
2043,21,0.015
2044,22,0.015
2045,23,0.015
2046,24,0.015
2047,25,0.015
2048,26,0.015
2049,27,0.015
2050,28,0.015
2051,29,0.015
2052,30,0.015
2053,31,0.015
2054,32,0.015
2055,33,0.015
2056,34,0.015
2057,35,0.015
2058,36,0.015
2059,37,0.015
2060,38,0.015
2061,39,0.015
2062,40,0.015
2063,41,0.015
2064,42,0.015
2065,43,0.015
2066,44,0.015
2067,45,0.015
2068,46,0.015
2069,47,0.015
2070,48,0.015
2071,49,0.015
2072,50,0.015
