Year,Term,Discount rate for Technical Provisions 2011 (forward) nominal basis from USS formula
2012,1,0.061
2013,2,0.061
2014,3,0.061
2015,4,0.061
2016,5,0.061
2017,6,0.061
2018,7,0.061
2019,8,0.061
2020,9,0.061
2021,10,0.061
2022,11,0.061
2023,12,0.061
2024,13,0.061
2025,14,0.061
2026,15,0.061
2027,16,0.061
2028,17,0.061
2029,18,0.061
2030,19,0.061
2031,20,0.061
2032,21,0.061
2033,22,0.061
2034,23,0.061
2035,24,0.061
2036,25,0.061
2037,26,0.061
2038,27,0.061
2039,28,0.061
2040,29,0.061
2041,30,0.061
2042,31,0.061
2043,32,0.061
2044,33,0.061
2045,34,0.061
2046,35,0.061
2047,36,0.061
2048,37,0.061
2049,38,0.061
2050,39,0.061
2051,40,0.061
2052,41,0.061
2053,42,0.061
2054,43,0.061
2055,44,0.061
2056,45,0.061
2057,46,0.061
2058,47,0.061
2059,48,0.061
2060,49,0.061
2061,50,0.061
