Year,Term,Discount rate for Technical Provisions 2017 September (forward) nominal basis
2018,1,0.02
2019,2,0.0074
2020,3,0.0073
2021,4,0.0088
2022,5,0.0104
2023,6,0.0123
2024,7,0.0141
2025,8,0.016
2026,9,0.0176
2027,10,0.019
2028,11,0.0535
2029,12,0.0534
2030,13,0.0532
2031,14,0.0527
2032,15,0.0521
2033,16,0.0512
2034,17,0.0501
2035,18,0.0488
2036,19,0.0472
2037,20,0.0454
2038,21,0.0434
2039,22,0.0422
2040,23,0.0409
2041,24,0.0394
2042,25,0.0378
2043,26,0.0361
2044,27,0.0346
2045,28,0.0331
2046,29,0.0317
2047,30,0.0305
2048,31,0.0296
2049,32,0.029
2050,33,0.0286
2051,34,0.0284
2052,35,0.0285
2053,36,0.0288
2054,37,0.0293
2055,38,0.0299
2056,39,0.0307
2057,40,0.0317
2058,41,0.0327
2059,42,0.0339
2060,43,0.0351
2061,44,0.0364
2062,45,0.0377
2063,46,0.0391
2064,47,0.0405
2065,48,0.0419
2066,49,0.0433
2067,50,0.0447
