Year,Term,Discount rate for Technical Provisions 2018 (forward) nominal basis
2019,1,0.0183
2020,2,0.0162
2021,3,0.0147
2022,4,0.0141
2023,5,0.0141
2024,6,0.0145
2025,7,0.0151
2026,8,0.0158
2027,9,0.0163
2028,10,0.0167
2029,11,0.0502
2030,12,0.0499
2031,13,0.0494
2032,14,0.0485
2033,15,0.0475
2034,16,0.0464
2035,17,0.0451
2036,18,0.0437
2037,19,0.0422
2038,20,0.0407
2039,21,0.0391
2040,22,0.0384
2041,23,0.0375
2042,24,0.0365
2043,25,0.0354
2044,26,0.0343
2045,27,0.033
2046,28,0.0318
2047,29,0.0307
2048,30,0.0296
2049,31,0.0286
2050,32,0.0278
2051,33,0.0272
2052,34,0.0268
2053,35,0.0266
2054,36,0.0266
2055,37,0.0267
2056,38,0.0271
2057,39,0.0275
2058,40,0.0282
2059,41,0.0289
2060,42,0.0298
2061,43,0.0308
2062,44,0.0318
2063,45,0.033
2064,46,0.0342
2065,47,0.0355
2066,48,0.0369
2067,49,0.0382
2068,50,0.0396
