Midpoint age / salary,2500,7500,12500,17500,22500,27500,32500,37500,42500,47500,52500,57500,62500,67500,72500,77500,82500,87500,92500,97500,102500,107500,112500,117500,122500,127500,132500,137500,142500,147500,200000
22.5,321,120,122,154,219,381,305,91,20,5,,,,,,,,,,,,,,,,,,,,,
27.5,1292,721,483,466,647,1209,3588,1722,658,247,64,31,16,7,7,7,,,,,,,,,,,,,,,
32.5,1029,893,698,787,979,1388,5863,6187,4283,2446,782,415,156,73,52,23,19,8,17,10,8,,11,,5,,,,,,16
37.5,711,779,681,971,1276,1441,3773,4804,6333,4751,2655,1686,735,326,233,122,91,47,56,40,23,16,26,15,14,7,,6,7,,33
42.5,490,630,697,907,1213,1295,2614,2908,5017,4498,3415,2853,1733,802,581,294,266,181,125,141,80,41,36,30,22,35,23,16,22,10,65
47.5,456,526,622,728,992,1066,2088,1950,3673,3405,2667,2696,2111,1047,850,510,352,295,265,194,154,121,71,57,66,37,31,30,25,16,108
52.5,428,482,555,673,906,989,1744,1471,3058,2708,2376,2328,2099,1038,956,663,520,476,316,265,218,162,123,106,102,67,67,49,50,30,217
57.5,406,495,562,634,801,843,1452,1079,2231,2019,1902,1916,1715,868,842,575,513,545,354,271,289,211,180,124,130,117,70,81,72,61,309
62.5,310,451,461,487,590,579,835,643,1166,1035,934,969,907,528,487,373,310,320,262,213,185,153,142,106,93,76,55,37,38,42,265
65.5,300,378,376,367,434,358,384,319,478,367,308,393,351,201,217,179,144,178,147,114,117,64,86,57,52,39,34,31,19,22,124
Total,5743,5475,5257,6174,8057,9549,22646,21174,26917,21481,15106,13288,9825,4891,4226,2736,2218,2051,1544,1248,1074,773,677,499,485,380,286,252,236,186,1140
