dob,salary,salary_inc,inflation,old_pension_pa,new_pension_pa,old_pension_20yr_pa,new_pension_20yr_p
1956,2500,0.04,0.025,40,40,40,30
1956,7500,0.04,0.025,140,130,140,120
1956,12500,0.04,0.025,240,230,240,220
1956,17500,0.04,0.025,340,330,340,320
1956,22500,0.04,0.025,440,420,440,400
1956,27500,0.04,0.025,540,520,540,500
1956,32500,0.04,0.025,640,610,640,590
1956,37500,0.04,0.025,740,710,740,680
1956,42500,0.04,0.025,840,780,840,750
1956,47500,0.04,0.025,940,860,940,830
1956,52500,0.04,0.025,1040,940,1040,910
1956,57500,0.04,0.025,1140,1010,1140,980
1956,62500,0.04,0.025,1190,1060,1190,1030
1956,67500,0.04,0.025,1220,1090,1220,1060
1956,72500,0.04,0.025,1250,1120,1250,1090
1956,77500,0.04,0.025,1280,1150,1280,1120
1956,82500,0.04,0.025,1310,1180,1310,1150
1956,87500,0.04,0.025,1340,1210,1340,1180
1956,92500,0.04,0.025,1370,1240,1370,1210
1956,97500,0.04,0.025,1400,1270,1400,1240
1956,102500,0.04,0.025,1430,1300,1430,1270
1956,107500,0.04,0.025,1460,1330,1460,1300
1956,112500,0.04,0.025,1490,1360,1490,1330
1956,117500,0.04,0.025,1520,1390,1520,1360
1956,122500,0.04,0.025,1550,1420,1550,1390
1956,127500,0.04,0.025,1580,1450,1580,1420
1956,132500,0.04,0.025,1610,1480,1610,1450
1956,137500,0.04,0.025,1640,1510,1640,1480
1956,142500,0.04,0.025,1670,1540,1670,1510
1956,147500,0.04,0.025,1700,1570,1700,1540
1956,200000,0.04,0.025,2020,1890,2020,1860
1956,2500,0.04,0.028,40,40,40,30
1956,7500,0.04,0.028,140,130,140,120
1956,12500,0.04,0.028,240,230,240,210
1956,17500,0.04,0.028,340,330,340,310
1956,22500,0.04,0.028,440,420,440,400
1956,27500,0.04,0.028,540,520,540,490
1956,32500,0.04,0.028,640,610,640,580
1956,37500,0.04,0.028,740,710,740,670
1956,42500,0.04,0.028,840,780,840,740
1956,47500,0.04,0.028,940,860,940,820
1956,52500,0.04,0.028,1040,940,1040,900
1956,57500,0.04,0.028,1140,1010,1140,970
1956,62500,0.04,0.028,1190,1060,1190,1020
1956,67500,0.04,0.028,1220,1090,1220,1050
1956,72500,0.04,0.028,1250,1120,1250,1080
1956,77500,0.04,0.028,1280,1150,1280,1110
1956,82500,0.04,0.028,1310,1180,1310,1140
1956,87500,0.04,0.028,1340,1210,1340,1170
1956,92500,0.04,0.028,1370,1240,1370,1200
1956,97500,0.04,0.028,1400,1270,1400,1230
1956,102500,0.04,0.028,1430,1300,1430,1260
1956,107500,0.04,0.028,1460,1330,1460,1290
1956,112500,0.04,0.028,1490,1360,1490,1320
1956,117500,0.04,0.028,1520,1390,1520,1350
1956,122500,0.04,0.028,1550,1420,1550,1380
1956,127500,0.04,0.028,1580,1450,1580,1410
1956,132500,0.04,0.028,1610,1480,1610,1440
1956,137500,0.04,0.028,1640,1510,1640,1470
1956,142500,0.04,0.028,1670,1540,1670,1500
1956,147500,0.04,0.028,1700,1570,1700,1530
1956,200000,0.04,0.028,2010,1890,2010,1850
1956,2500,0.04,0.03,40,40,40,30
1956,7500,0.04,0.03,140,130,140,120
1956,12500,0.04,0.03,240,230,240,210
1956,17500,0.04,0.03,330,320,330,300
1956,22500,0.04,0.03,440,420,440,390
1956,27500,0.04,0.03,540,520,540,490
1956,32500,0.04,0.03,640,610,640,570
1956,37500,0.04,0.03,740,710,740,670
1956,42500,0.04,0.03,840,780,840,730
1956,47500,0.04,0.03,940,860,940,810
1956,52500,0.04,0.03,1030,930,1030,880
1956,57500,0.04,0.03,1140,1010,1140,960
1956,62500,0.04,0.03,1190,1060,1190,1010
1956,67500,0.04,0.03,1220,1090,1220,1040
1956,72500,0.04,0.03,1250,1120,1250,1070
1956,77500,0.04,0.03,1280,1150,1280,1100
1956,82500,0.04,0.03,1310,1180,1310,1130
1956,87500,0.04,0.03,1340,1210,1340,1160
1956,92500,0.04,0.03,1370,1240,1370,1190
1956,97500,0.04,0.03,1400,1270,1400,1220
1956,102500,0.04,0.03,1430,1300,1430,1250
1956,107500,0.04,0.03,1460,1330,1460,1280
1956,112500,0.04,0.03,1490,1360,1490,1310
1956,117500,0.04,0.03,1520,1390,1520,1340
1956,122500,0.04,0.03,1550,1420,1550,1370
1956,127500,0.04,0.03,1580,1450,1580,1400
1956,132500,0.04,0.03,1610,1480,1610,1430
1956,137500,0.04,0.03,1640,1510,1640,1460
1956,142500,0.04,0.03,1670,1540,1670,1490
1956,147500,0.04,0.03,1700,1570,1700,1520
1956,200000,0.04,0.03,2010,1890,2010,1840
